;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Name;D65_White;D65_Blue;D65_Skin;D65_Yellow;D50_White;D50_Blue;D50_Skin;D50_Yellow;L1_White;L1_Blue;L1_Skin;L1_Yellow
Correction;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV
Date;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025
Time;09:23:14;09:25:54;09:31:56;09:34:22;09:45:08;09:47:48;09:49:18;09:49:34;09:59:28;10:00:28;10:00:42;10:00:59
375;2,05310E-03;1,74662E-04;1,88766E-04;6,30020E-05;7,64025E-04;4,49111E-05;4,39747E-05;2,35195E-05;-2,42306E-05;1,36126E-05;-3,21604E-05;-7,78206E-05
376;3,13336E-03;2,01771E-04;2,30438E-04;3,35836E-04;1,25635E-03;4,87461E-05;4,46804E-05;1,84409E-05;-5,86364E-05;6,47690E-06;3,35858E-05;9,56448E-06
377;4,14600E-03;3,75557E-04;2,92766E-04;1,31281E-04;1,58474E-03;8,23848E-05;9,58854E-05;2,35225E-05;-3,85838E-05;-1,45866E-05;-1,21854E-05;2,64407E-05
378;6,21831E-03;4,66632E-04;4,55206E-04;3,95363E-04;1,91604E-03;1,46052E-04;8,82620E-05;1,23338E-04;8,92521E-05;2,01466E-05;4,44974E-05;5,70926E-05
379;8,49429E-03;6,40639E-04;5,29657E-04;4,58010E-04;2,97373E-03;1,69274E-04;2,03193E-04;1,49786E-04;-1,63889E-05;-1,01190E-05;2,40433E-05;3,08663E-05
380;1,16168E-02;8,82504E-04;7,21130E-04;5,46188E-04;3,64509E-03;2,06657E-04;1,87354E-04;1,73783E-04;-3,03095E-05;1,31652E-05;1,21099E-05;-6,35723E-05
381;1,52934E-02;1,21588E-03;1,05696E-03;7,22326E-04;5,21154E-03;3,20288E-04;2,81301E-04;2,64453E-04;-2,21046E-05;3,00020E-06;-1,35618E-05;3,22727E-06
382;1,99185E-02;1,61394E-03;1,33619E-03;1,12767E-03;7,08545E-03;4,04394E-04;3,45016E-04;3,12107E-04;-1,52558E-06;-5,19784E-06;7,87544E-06;1,60342E-06
383;2,39539E-02;2,00880E-03;1,77561E-03;1,38634E-03;8,30089E-03;5,52154E-04;3,88938E-04;4,12343E-04;-5,54518E-06;-6,35124E-06;8,21049E-06;1,82477E-05
384;2,75520E-02;2,45510E-03;1,97993E-03;1,52089E-03;1,00788E-02;6,57528E-04;5,10725E-04;4,46846E-04;4,45190E-05;2,29110E-06;-5,61916E-09;4,52984E-06
385;3,09465E-02;2,74661E-03;2,29295E-03;1,85658E-03;1,14405E-02;7,16623E-04;6,29704E-04;5,53501E-04;8,64880E-05;-1,34152E-05;3,97046E-06;3,04397E-05
386;3,30011E-02;2,88756E-03;2,56257E-03;1,76128E-03;1,19313E-02;7,91817E-04;6,82644E-04;5,27809E-04;2,36044E-04;1,05075E-05;-2,31600E-05;2,89038E-05
387;3,26284E-02;3,19012E-03;2,50380E-03;2,09029E-03;1,26214E-02;8,26825E-04;6,76020E-04;5,10044E-04;-7,22848E-05;1,29602E-05;9,37219E-06;2,93915E-05
388;3,24892E-02;3,26330E-03;2,75600E-03;2,12849E-03;1,23542E-02;8,41728E-04;6,59275E-04;5,66236E-04;-4,48373E-05;5,00223E-06;1,77578E-06;4,27807E-05
389;3,20547E-02;3,24904E-03;2,71453E-03;1,80318E-03;1,20576E-02;8,55758E-04;6,58455E-04;5,50373E-04;5,42632E-05;-2,98162E-06;6,87042E-06;-1,87972E-05
390;3,08188E-02;3,28994E-03;2,91059E-03;1,91673E-03;1,15929E-02;8,68462E-04;6,60437E-04;5,52276E-04;-7,05914E-05;4,92685E-06;-3,26913E-05;-4,45044E-05
391;3,12217E-02;3,40244E-03;2,92962E-03;1,81792E-03;1,17801E-02;9,06312E-04;7,64413E-04;4,92368E-04;4,94425E-05;1,61791E-05;-1,17065E-05;-1,20330E-05
