;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Name;D65_white;D65_blue;D65_vert;D65_jaune;D50_white;D50_blue;D50_vert;D50_jaune;L1_white;L1_blue;L1_vert;L1_yellow
Correction;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV
Date;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025
338;3,89114E-05;-7,41204E-06;4,30183E-06;-6,80352E-06;5,80240E-05;9,91814E-06;2,15712E-07;-9,12056E-06;8,08544E-05;-1,25785E-06;2,59269E-05;3,57732E-05
339;2,97622E-05;6,16241E-06;1,00766E-05;3,55575E-06;2,15208E-05;1,38473E-05;6,41080E-07;2,26112E-05;3,78235E-05;8,73631E-06;8,01755E-06;-2,25838E-05
340;-4,76938E-05;2,98959E-05;-3,17086E-07;-1,97466E-06;3,39061E-06;3,70159E-06;1,14533E-05;-1,17987E-06;-1,08176E-04;7,21485E-06;3,59636E-05;2,99018E-05
341;2,95582E-06;-3,03517E-06;1,07311E-06;1,41548E-05;3,66996E-05;2,85931E-06;6,15409E-06;2,45647E-06;2,00462E-05;-3,42680E-06;-5,61652E-06;2,48160E-06
342;1,07253E-04;2,18520E-05;5,82121E-08;9,52699E-06;-3,66646E-05;1,49252E-05;6,70593E-06;-5,93400E-06;-1,32950E-05;4,32321E-06;-4,06354E-06;-8,32065E-05
343;4,40761E-05;7,17327E-06;1,31454E-06;-5,49223E-06;3,06114E-05;7,79863E-06;-1,26944E-05;-1,76386E-05;-2,01339E-05;4,65870E-06;-3,71763E-06;3,39195E-06
344;1,15233E-05;1,85314E-05;7,64502E-06;-9,85856E-07;4,85043E-06;1,05486E-05;-6,86878E-06;-4,00937E-06;9,07349E-05;-1,17285E-05;1,61372E-05;-4,45429E-05
345;3,87028E-06;1,92449E-05;4,89427E-06;-7,17238E-06;3,87517E-05;1,69779E-05;-2,25303E-06;-1,24065E-05;9,07058E-06;1,85709E-05;3,50327E-06;-6,64940E-05
346;1,00195E-05;5,86028E-06;2,93281E-06;-6,73065E-06;3,78969E-05;-2,05159E-06;2,42540E-06;-1,18113E-05;-9,40369E-06;6,25993E-06;-2,19182E-05;-1,88523E-05
347;4,93736E-05;-9,68948E-06;-3,73967E-06;1,97639E-05;4,67286E-05;1,13320E-05;1,18586E-05;-2,61266E-06;7,84142E-05;1,96233E-05;2,03550E-05;9,35538E-05
348;1,21505E-04;4,82114E-06;7,63122E-06;2,18595E-05;1,47287E-05;2,61696E-06;8,34610E-06;-1,38837E-05;1,89565E-05;-8,72433E-06;1,74329E-05;-3,86680E-05
349;9,41330E-06;1,49246E-05;6,38509E-06;3,03914E-06;4,07513E-05;1,23642E-06;-1,00857E-05;5,96258E-06;9,64908E-06;1,41908E-05;7,17412E-06;-4,60801E-05
350;8,21341E-05;1,41027E-05;-2,07224E-06;1,84227E-05;-3,06780E-08;1,34952E-05;1,50176E-06;-6,38380E-06;7,64066E-07;4,84417E-06;1,28320E-06;4,95058E-05
351;9,18495E-05;9,92761E-06;-1,28851E-05;6,13446E-06;4,64997E-05;3,44656E-06;1,84634E-05;3,13408E-06;-3,99546E-05;6,46949E-06;-1,21881E-05;-4,19345E-05
352;1,10658E-04;1,36297E-05;5,98038E-06;9,65613E-06;2,26115E-05;-3,54697E-06;9,61641E-07;1,32421E-05;-2,73498E-06;2,10378E-06;-4,69660E-06;2,06508E-05
353;-1,27042E-05;1,56250E-05;7,32462E-06;1,26920E-05;6,07466E-05;-8,74455E-07;-7,38685E-07;9,81045E-06;9,44548E-05;1,03948E-05;6,61170E-06;-2,08318E-06
354;5,32862E-05;1,83136E-05;-8,83917E-07;-1,56229E-05;6,21480E-07;5,85521E-06;-4,34150E-06;4,41474E-06;-6,98238E-06;-1,55731E-06;1,44364E-05;5,92959E-05
355;-1,58412E-05;1,46199E-05;-1,52327E-05;3,88210E-05;4,69911E-05;7,96687E-06;-9,34061E-07;1,43498E-05;-5,63277E-06;1,63924E-05;-3,06050E-06;-1,07540E-05
356;5,06884E-05;6,57895E-06;-1,68747E-06;6,55216E-06;7,47856E-06;2,09146E-05;-1,37032E-05;-8,82791E-06;4,16648E-05;2,05462E-06;1,52921E-07;-6,21848E-05
357;3,11047E-05;2,16247E-05;-4,76202E-06;6,69508E-06;4,81438E-05;-5,18752E-06;-5,62599E-06;-2,96641E-06;6,80528E-05;-1,42706E-05;1,71283E-06;-4,27819E-05
358;9,35776E-05;8,70602E-06;9,08181E-07;-1,46631E-05;3,71359E-05;7,85199E-06;4,95714E-06;8,78255E-06;-1,81905E-06;-9,67404E-07;2,89290E-06;2,28473E-05
359;5,97891E-05;1,23187E-05;-4,87162E-07;-3,48192E-05;2,91012E-05;1,73668E-05;-6,24789E-07;7,56642E-06;-7,82054E-05;1,91555E-05;-1,30036E-06;-2,79122E-05
360;7,21863E-05;-9,79802E-07;7,66903E-06;-2,60935E-06;7,10470E-05;1,12021E-05;1,05750E-05;-5,05996E-05;-1,18784E-04;9,32151E-06;2,79433E-06;-4,48935E-05
361;9,27910E-06;9,68409E-06;-1,98300E-07;-7,29897E-06;-2,05041E-05;9,33467E-06;5,70429E-06;1,20737E-05;3,20791E-05;-5,12163E-06;1,88387E-05;1,12826E-04
362;9,81291E-05;1,03290E-05;9,94702E-06;1,64314E-05;1,06771E-04;1,98728E-05;7,76062E-06;-1,14147E-05;1,04112E-04;1,01923E-05;2,73234E-06;-4,75978E-05
363;1,30360E-04;2,02364E-05;1,30534E-06;1,91384E-05;7,77891E-05;6,85428E-07;2,13591E-06;-7,62864E-06;-4,07978E-05;2,29863E-05;1,58974E-06;1,29011E-05
364;1,45630E-04;1,45115E-05;-6,04158E-06;2,94617E-05;3,51641E-05;4,34795E-06;-6,09017E-08;-8,27024E-06;4,10989E-05;-8,71090E-06;-2,15640E-05;-7,55420E-05
365;5,72795E-05;9,23907E-06;1,06725E-05;2,58628E-05;4,81155E-05;3,36139E-06;-5,68527E-06;3,54580E-06;-1,13195E-04;9,28909E-06;-1,33893E-05;-4,50625E-05
366;9,49102E-05;-7,83834E-06;7,53312E-06;2,51518E-05;4,46204E-05;2,86801E-05;-1,21678E-06;-8,70424E-06;-2,65969E-05;6,04243E-06;1,16096E-05;-5,64533E-05
367;9,41575E-05;1,92712E-05;1,83551E-05;-2,43868E-06;7,54274E-05;1,42202E-05;1,31857E-06;9,35315E-07;-5,31949E-05;3,67367E-06;1,20186E-05;2,16474E-05
368;1,19435E-04;1,10668E-05;2,41850E-06;3,25969E-05;6,67891E-05;1,33097E-06;-8,96224E-06;1,39987E-06;-1,77171E-05;-9,24034E-06;-1,07227E-05;4,47955E-05
369;6,02495E-05;1,58792E-05;4,49293E-06;4,40033E-06;1,04566E-04;1,56906E-05;1,72658E-05;-9,43831E-06;3,82712E-05;1,67264E-05;2,74654E-05;-5,46087E-05
370;1,39847E-04;2,33005E-05;-3,59635E-06;1,25406E-05;9,45682E-05;1,31651E-05;-2,16484E-06;1,11887E-05;-8,24859E-06;-4,14357E-06;1,44286E-05;1,00528E-04
371;1,69939E-04;3,16684E-05;4,51864E-06;1,65460E-05;6,44598E-05;6,82864E-06;4,87753E-06;9,06401E-06;2,11786E-05;1,57923E-05;-1,88858E-05;1,03335E-04
372;2,07983E-04;1,92185E-05;1,43446E-05;1,99217E-05;1,47737E-04;1,91949E-05;3,99520E-06;-8,24276E-06;-6,24153E-05;-1,12904E-06;-3,64651E-06;3,37224E-06
373;2,74875E-04;2,39062E-05;1,04774E-05;5,86247E-06;1,93618E-04;2,01145E-05;-6,25396E-06;-1,27670E-05;-1,35916E-05;1,97397E-05;-1,54511E-05;1,27088E-05
374;3,91628E-04;1,80589E-05;1,48169E-05;6,99425E-06;1,69669E-04;1,91694E-05;2,10261E-05;-1,47887E-05;-4,12511E-05;-3,94935E-06;1,22681E-05;4,30607E-06
375;5,19590E-04;4,72283E-05;8,94627E-06;2,76339E-05;3,32669E-04;4,01120E-05;1,21848E-05;2,17861E-05;2,49030E-05;-4,91814E-06;2,75898E-05;6,65468E-05
376;6,88688E-04;5,53589E-05;2,15236E-05;3,29747E-05;4,63607E-04;3,82822E-05;2,14341E-05;7,79645E-06;-8,77643E-06;1,02961E-05;-1,02971E-06;2,41212E-05
377;1,00021E-03;8,51787E-05;3,78856E-05;5,14423E-05;6,41985E-04;5,78819E-05;1,35259E-05;4,34304E-05;1,98421E-05;1,47310E-05;8,84481E-06;6,75679E-05
378;1,42574E-03;1,01089E-04;3,92914E-05;4,60764E-05;9,31081E-04;7,89818E-05;3,23954E-05;4,44266E-05;-5,80421E-05;4,08574E-06;1,50623E-05;2,14430E-05
379;2,02469E-03;1,29479E-04;5,14788E-05;6,01222E-05;1,27920E-03;1,05128E-04;3,29789E-05;3,62804E-05;7,75114E-06;1,72293E-05;-4,92766E-06;-1,78756E-05
380;2,67487E-03;1,87635E-04;5,69216E-05;5,67538E-05;1,76088E-03;1,31370E-04;5,70473E-05;6,44863E-05;-3,42552E-06;1,28404E-05;-4,12120E-06;-8,57661E-06
381;3,60764E-03;2,47556E-04;8,35028E-05;1,08990E-04;2,44286E-03;1,96306E-04;7,79349E-05;1,08812E-04;-1,59569E-06;5,33946E-06;1,14189E-05;4,44267E-05
382;4,67938E-03;3,14159E-04;1,25037E-04;1,63763E-04;3,04388E-03;2,40164E-04;9,72986E-05;1,22679E-04;7,19020E-05;3,55211E-06;1,60858E-05;6,36996E-05
383;5,70958E-03;3,92757E-04;1,37074E-04;1,74560E-04;3,73852E-03;3,09671E-04;1,19533E-04;1,56675E-04;-6,41412E-06;1,00160E-05;5,08828E-06;-2,14137E-05
384;6,61581E-03;4,62810E-04;1,60472E-04;2,19953E-04;4,33931E-03;3,67785E-04;1,58419E-04;1,95538E-04;1,47216E-06;-4,66043E-06;-5,34385E-06;2,24076E-05
385;7,20359E-03;5,28033E-04;1,83164E-04;2,27995E-04;4,74527E-03;4,01488E-04;1,68301E-04;2,09061E-04;-6,87676E-06;1,85509E-06;-6,17613E-06;8,01870E-07
386;7,46288E-03;5,68370E-04;2,04251E-04;2,56172E-04;4,91935E-03;4,44108E-04;1,69302E-04;2,16844E-04;-1,30592E-05;9,59310E-06;-3,12235E-06;1,10275E-05
